Numéro d'image,Gabor,DCT,Fourier,PHOG,Étiquette
1565,0.13629433063678778,1.2509349329682702,0.020753516785998273,0.13135598729683437,1
2902,0.14195328921075567,1.8204983279204217,0.019931602037583398,0.132182978298259,1
2013,0.12970387316918008,1.1354927030836712,0.026566868170630437,0.09211366300404117,1
1164,0.12538651416979182,0.9142667840631538,0.028793667068565128,0.09084042749114221,0
967,0.12599216892724424,1.1827313656803937,0.030288185581510103,0.10013384328819355,0
1061,0.10244690615111555,0.9367910952092384,0.026488910316426563,0.10386531707050328,0
1366,0.11774511626756216,1.0037797284706997,0.030065907295054456,0.15609203090273827,1
2728,0.14886634318172356,2.4352130064181976,0.022988995612542498,0.18213329178107426,1
4667,0.11666581287188153,1.430415975603968,0.020619190190534518,0.07962928218041009,1
1710,0.11054493621225256,1.7430974801283372,0.022261249949497953,0.17512817754938534,1
5194,0.13863302329156663,1.8477121990136376,0.017617392245083477,0.10696446567773481,1
424,0.1313341040521982,1.555863471356162,0.024450300386569295,0.10074615391788577,0
486,0.09245717885676963,0.6974376406182772,0.023681701324808742,0.11046946216877221,0
1886,0.15354407290741845,2.258393039812521,0.0384300191117589,0.1574709747467797,1
2817,0.13227350823750664,3.1211711486418654,0.009427453236782736,0.1515602159654214,1
3553,0.12041703250943155,0.8869392446482707,0.03759702525610008,0.11060864291266623,1
934,0.11642246223015609,1.2919638280532293,0.027649678647566445,0.08232151122102238,0
4251,0.06838264883275656,1.2074577903477408,0.011424411444484922,0.10273809050237295,1
2919,0.114000648241849,1.9184729846005741,0.029896602288518988,0.1307327346600054,1
4536,0.11857051139632023,0.9472096036840657,0.03915753907079484,0.059815426026828,1
533,0.11931772899752088,1.3269826185203057,0.03596329780626552,0.11668698087129743,0
1159,0.1162932958574946,0.7847183671522597,0.029711739834642526,0.07525039900222083,0
1819,0.14786550540796403,2.6515007644834863,0.02233856642122617,0.12750520780021726,1
1492,0.1010055943895464,0.8878628810171403,0.028721759260559376,0.14240375705789274,1
2031,0.1064420082583085,1.30810562838714,0.0222336693089372,0.16345816776265626,1
222,0.13045695492030263,0.9567408355962972,0.017379281772843296,0.09689453548133968,0
5146,0.11150446691613028,1.2358156143275227,0.015807699684535183,0.11392844280404817,1
849,0.1257332445668442,0.9335464083029382,0.028675048129538545,0.08418086533117562,0
4649,0.11541010267321275,0.7662687199072351,0.022875879355556857,0.16022733472292314,1
3847,0.13745603945356522,1.1122146910702273,0.021114906212155553,0.13732215209962695,1
4172,0.12187950145721307,1.634681041794701,0.023238085278405582,0.1526215029504079,1
1623,0.10806957732778852,1.3110607565083023,0.018491569225174826,0.14925472786124908,1
1683,0.12977650647748917,1.5088876095561325,0.02433721492523607,0.1638600227142653,1
1176,0.11397685151074102,0.8537839652989956,0.034754684689682264,0.10185500121064939,0
