Numéro d'image,Caractéristique,Étiquette
0,0.3732726944747965,0
1,0.24636456182565422,0
10,0.3221823452766315,0
100,0.4522062013265654,0
1000,0.2698994236325713,0
1001,0.5543501121591455,0
1002,0.3265231483204625,0
1003,0.4588499684486089,0
1004,0.3729069123608907,0
1005,0.2900413539931149,0
1006,0.30214702891350387,0
1007,0.2669544476030376,0
1008,0.26287756278939695,0
1009,0.32223870743163197,0
101,0.3059813357690023,0
1010,0.4765044884894566,0
1011,0.424171623033166,0
1012,0.24519694716583376,0
1013,0.25780646205664204,0
1014,0.3454497957886082,0
1015,0.24016789152893658,0
1016,0.2801802060651031,0
1017,0.26281749541494515,0
1018,0.27509367849506605,0
1019,0.3253077292909823,0
102,0.4490272398048475,0
1020,0.27096940510779,0
1021,0.28655287234994203,0
1022,0.2487990427017351,0
1023,0.2518069175324352,0
1024,0.29489614979688045,0
1025,0.31219670170585384,0
1026,0.3452304911113755,0
1027,0.27286082046209553,0
1028,0.3480347345649819,0
1029,0.36511563542439457,0
103,0.338103556430722,0
1030,0.4843922072752696,0
1031,0.3845545939691916,0
1032,0.6149166355525114,0
1033,0.37926003331445485,0
1034,0.24219691353283251,0
1035,0.24273021335506115,0
1036,0.35089432762047085,0
1037,0.41641951080960854,0
1038,0.26500175903747286,0
1039,0.42689806585928514,0
104,0.38440261848220536,0
1040,0.48373585585999257,0
1041,0.3232656556968838,0
1042,0.23510987142409878,0
1043,0.30782029152668366,0
1044,0.30035349803775324,0
1045,0.40740276588829455,0
1046,0.2662771661543794,0
1047,0.23873170675815658,0
1048,0.23627064309265813,0
1049,0.5979905017466125,0
105,0.28480023531855614,0
1050,0.2473846205455581,0
1051,0.2181011323476487,0
1052,0.43661392091128937,0
1053,0.2539348283925754,0
1054,0.3539649651469462,0
1055,0.4246224075066788,0
1056,0.3788409210386191,0
1057,0.23994162031820962,0
1058,0.2517318904084593,0
1059,0.262017682519073,0
106,0.2441579790367449,0
1060,0.2980649111096125,0
1061,0.29866980753675226,0
1062,0.27771522557858236,0
1063,0.2989819413159512,0
1064,0.3120245936922071,0
1065,0.5481807500366497,0
1066,0.32170750569737544,0
1067,0.3223683520629928,0
1068,0.32403555864339667,0
1069,0.35576980948021697,0
107,0.3313211861267689,0
1070,0.30713048748709165,0
1071,0.3081002447210553,0
1072,0.3902662417052238,0
1073,0.3311432940651043,0
1074,0.21353921192741362,0
1075,0.38370104889432044,0
1076,0.6327289197629129,0
1077,0.38137090290694753,0
1078,0.459228791795544,0
1079,0.2765718021140683,0
108,0.31180790058697794,0
1080,0.226432498908709,0
1081,0.3169411889255433,0
1082,0.2923561742732923,0
1083,0.23385864768719883,0
1084,0.3601725880576521,0
1085,0.2541943107299042,0
1086,0.4981633627440824,0
1087,0.30679685893514025,0
1088,0.3452632516282756,0
1089,0.43634517489332575,0
109,0.31869773318870537,0
1090,0.43129062679672353,0
1091,0.324866809590866,0
1092,0.29899460086641794,0
1093,0.25356112204358905,0
1094,0.2895501266200267,0
1095,0.3600635168916874,0
1096,0.2360294519246763,0
1097,0.2799263676850449,0
1098,0.33201010598337766,0
1099,0.20955927546168673,0
11,0.33356387033636653,0
110,0.4348713086072341,0
1100,0.3214900067875272,0
1101,0.32930878325931506,0
1102,0.33801321305004167,0
1103,0.2806193268157066,0
1104,0.34744700917642535,0
1105,0.40460443682058317,0
1106,0.45200236162080976,0
1107,0.3682911404280146,0
1108,0.2782056045049923,0
1109,0.30730035202670264,0
111,0.40693677908113185,0
1110,0.3121670660885355,0
1111,0.6198792454002219,0
1112,0.3575069555192224,0
1113,0.30152107082946183,0
1114,0.2844452719655438,0
1115,0.188441179358483,0
1116,0.2514259633192327,0
1117,0.28222827617012114,0
1118,0.23161953121282372,0
1119,0.2712120680588267,0
112,0.3692338294824741,0
1120,0.3577733008727038,0
1121,0.34636563716045665,0
1122,0.3297787618106513,0
1123,0.45628116664017354,0
1124,0.33018970167410544,0
1125,0.31821129799250086,0
1126,0.33245294763737127,0
1127,0.5458447750118826,0
1128,0.4846377365695406,0
1129,0.34117451364486145,0
113,0.207657256531714,0
1130,0.47280437483379467,0
1131,0.2508065731170346,0
1132,0.36271267563449777,0
1133,0.2909364480877561,0
1134,0.22120830228541627,0
1135,0.3944313803857476,0
1136,0.29194931580560907,0
1137,0.30471391571094164,0
1138,0.3019758657358331,0
1139,0.3693305966247792,0
114,0.25139574183450797,0
1140,0.28796385158364746,0
1141,0.2691323546431445,0
1142,0.32812419965560685,0
1143,0.3114456628901595,0
1144,0.29158101723448965,0
1145,0.3539628870096918,0
1146,0.3065584705991331,0
1147,0.24843814786634372,0
1148,0.5175704782453622,0
1149,0.3127618603807461,0
115,0.33361516657256685,0
1150,0.41528860240700954,0
1151,0.41272433009071213,0
1152,0.2518001319345696,0
1153,0.2578557565885701,0
1154,0.23808923748047964,0
1155,0.3923225972192807,0
1156,0.45052430081631895,0
1157,0.2613383617729774,0
1158,0.2561199024355006,0
1159,0.33207696266372266,0
116,0.2325499921364627,0
1160,0.4166529422049619,0
1161,0.27962256802502045,0
1162,0.2729168050041502,0
1163,0.27620904943291186,0
1164,0.5312562084780614,0
1165,0.3212294003417919,0
1166,0.39330904081295454,0
1167,0.43041948741325514,0
1168,0.2606167585899614,0
1169,0.3544823485342755,0
117,0.48351506284895257,0
1170,0.262440917450932,0
1171,0.2864456891784487,0
1172,0.4153306237884142,0
1173,0.45127879762692263,0
1174,0.6914706279916455,0
1175,0.3819209988177824,0
1176,0.2546731596257289,0
1177,0.26909203584150726,0
1178,0.28428767789168363,0
1179,0.3258164464422122,0
118,0.35502168871243844,0
1180,0.41931087547024076,0
1181,0.2977865352737524,0
1182,0.38979125639529616,0
1183,0.269265821807641,0
1184,0.24924722381718906,0
1185,0.2441754824950449,0
1186,0.2612178945222661,0
1187,0.26827307479543394,0
1188,0.39714023709520846,0
1189,0.3248245456511004,0
119,0.4408259351043942,0
1190,0.36751153936518144,0
1191,0.304819950237179,0
1192,0.25122984735864257,0
1193,0.30113527337130835,0
1194,0.3287508412712597,0
1195,0.3158568820275561,0
1196,0.3666767177001567,0
1197,0.3391536913352263,0
1198,0.2544579957349223,0
1199,0.22585604334677967,0
12,0.7416461764320293,0
120,0.34984370315741364,0
1200,0.26873510190765404,0
1201,0.2587371961634339,0
1202,0.25225061660764825,0
1203,0.24572444805307744,0
1204,0.4013806595699597,0
1205,0.3101878327090279,0
1206,0.3640253361653332,0
1207,0.31175888057089013,0
1208,0.34253296510663256,0
1209,0.32963691019896285,0
121,0.4642813995603139,0
1210,0.2538312246657884,0
1211,0.3086814391254002,0
1212,0.291079677129832,0
1213,0.2684479462292703,0
1214,0.22079745417897548,0
1215,0.3279308769978106,0
1216,0.3071329229561148,0
1217,0.3936712959088801,0
1218,0.3894842114478205,0
1219,0.2739526766430359,0
122,0.2252511140623016,0
1220,0.28572564528148364,0
1221,0.24319928467457202,0
1222,0.25665556348469704,0
1223,0.2563535547598009,0
1224,0.2726603594504734,0
1225,0.34155945638878626,0
1226,0.240895274854759,0
1227,0.386292599974655,0
1228,0.45016511680340304,0
1229,0.30396933397551484,0
123,0.253805905810721,0
1230,0.5764258283153348,0
1231,0.2821346126608437,0
1232,0.36827872059236916,0
1233,0.3930905985773702,0
1234,0.48828253339039046,0
1235,0.40252683397733674,0
1236,0.3269501578190205,0
1237,0.5728114232276222,0
1238,0.27006403367184967,0
1239,0.2419850693139131,0
124,0.5256869420369945,0
1240,0.25034665732584666,0
1241,0.2950236507186089,0
1242,0.3033563157133885,0
1243,0.2527570344146094,0
1244,0.284759204659043,0
1245,0.30999041483392675,0
1246,0.3189579802465128,0
1247,0.26118574742307316,0
1248,0.433060888777176,0
1249,0.24032059745782397,0
125,0.25189238793840174,0
1250,0.3428236632402433,0
1251,0.2846838283562506,0
1252,0.30501765205362086,0
1253,0.39535167554317235,0
1254,0.6582533875670393,0
1255,0.39426511692460525,0
1256,0.32555211779399973,0
1257,0.28072682948855365,0
1258,0.26997872239096304,0
1259,0.39305531627222284,0
126,0.2582993875211123,0
1260,0.23803177526283256,0
1261,0.41076490523905484,0
1262,0.30707916017633397,0
1263,0.23448702624381063,0
1264,0.40366699400790157,0
1265,0.24690451119348208,0
1266,0.3962658647504246,0
1267,0.3187523526399493,0
1268,0.2872776121287717,0
1269,0.27235322703749537,0
127,0.25319408721810843,0
1270,0.27834400106858165,0
1271,0.3689178232080831,0
1272,0.23880950974397477,0
1273,0.38266358062859795,0
1274,0.35716645840883726,0
1275,0.26670115326175714,0
1276,0.31715335213501605,0
1277,0.32693748290541924,0
1278,0.3429300177454887,0
1279,0.7111412681158457,0
128,0.2890220703040928,0
1280,0.639238567132544,0
1281,0.3220570740734286,0
1282,0.45384594994815225,0
1283,0.2541085903643566,0
1284,0.39644016964382184,0
